id,genus,spp,tree_number,stem_number,dbh,health,alive,standing,old_plot_col,zone,plot,oldtag,dhas.1,dhas.2,notes,new_genus,new_species
Nys.syl.875.1,Nys,syl,875,1,39,2,1,0,M1,M,1,,,,,,
Nys.syl.876.1,Nys,syl,876,1,,1,1,1,M1,M,1,,,,,,
Pin.tae.899.1,Pin,tae,899,1,408,7,1,1,M1,M,1,,,,,,
Nys.syl.842.2,Nys,syl,842,2,61,0,0,1,M1,M,1,,,,,,
Jun.vir.862.2,Jun,vir,862,2,56,4,1,1,M1,M,1,,,,,,
Nys.syl.870.2,Nys,syl,870,2,104,3,1,1,M1,M,1,,,,,,
Mor.cer.702.1,Mor,cer,702,1,75,5,1,1,M1,M,1,,,,,,
Mor.cer.702.2,Mor,cer,702,2,55,9,1,1,M1,M,1,,,,,,
Mor.cer.702.3,Mor,cer,702,3,56,7,1,1,M1,M,1,,,,,,
Mor.cer.601.1,Mor,cer,601,1,66,9,1,1,M1,M,1,,,,,,
Mor.cer.491.1,Mor,cer,491,1,64,6,,,M1,M,1,,,,,,
Mor.cer.458.1,Mor,cer,458,1,67,9,,,M1,M,1,,,,,,
Mor.cer.458.2,Mor,cer,458,2,69,9,,,M1,M,1,,,,,,
Nys.syl.602.1,Nys,syl,602,1,151,1,1,1,M1,M,1,,,,,,
Pin.tae.2408.1,Pin,tae,2408,1,305,0,0,1,M2,M,2,,,,spray (crossed out) DD,,
Nys.syl.2409.1,Nys,syl,2409,1,189,5,1,1,M2,M,2,,,,,,
Uni.spp.2410.1,Uni,spp,2410,1,50,0,0,1,M2,M,2,,,,,Jun,vir
Pin.tae.2411.1,Pin,tae,2411,1,319,7,1,1,M2,M,2,,,,sprayed,,
Nys.syl.2412.1,Nys,syl,2412,1,70,3,1,1,M2,M,2,,,,,,
Uni.spp.2413.1,Uni,spp,2413,1,,0,0,1,M2,M,2,,,,,,
Nys.syl.2414.1,Nys,syl,2414,1,231,1,1,1,M2,M,2,,,,"sprayed, senesce?",,
Pin.tae.2415.1,Pin,tae,2415,1,252,5,1,1,M2,M,2,,,,,,
Pin.tae.2416.1,Pin,tae,2416,1,341,6,1,1,M2,M,2,,,,sprayed,,
Uni.spp.2417.1,Uni,spp,2417,1,202,0,0,1,M2,M,2,,,,,,
